x,y,topo,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,dep_top_1,dep_top_2,dep_top_3,dep_top_4,dep_top_5,dep_top_6,dep_top_7,dep_top_8,dep_top_9,dep_top_10,dep_top_11,dep_top_12,dep_bot_1,dep_bot_2,dep_bot_3,dep_bot_4,dep_bot_5,dep_bot_6,dep_bot_7,dep_bot_8,dep_bot_9,dep_bot_10,dep_bot_11,dep_bot_12
109081.4,453235.8,-5.23,69.03,83.83,96.76,99.86,92.76,79.34,63.8,49.08,36.63,26.81,19.36,13.65,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109081.9,453235,-5.27,76.19,91.02,101.6,101.7,92.53,78.1,62.37,47.85,35.73,26.24,19.06,13.64,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109082.4,453234.1,-5.25,79.41,92.31,103.8,104.5,95.3,80.5,64.28,49.31,36.83,27.1,19.81,14.46,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109082.9,453233.2,-5.28,78.38,95.41,106,104.7,94.08,78.77,62.63,48.02,35.98,26.65,19.72,14.74,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109083.4,453232.4,-5.28,73.35,91.5,104,104.1,94.08,78.99,62.93,48.35,36.34,27.06,20.23,15.23,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109083.8,453231.5,-5.28,68.9,88.39,102.6,103.9,94.39,79.48,63.45,48.88,36.88,27.64,20.92,16.47,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109084.4,453230.6,-5.28,67.28,87.03,102.1,103.9,94.7,79.85,63.84,49.28,37.3,28.1,21.48,17.41,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109084.9,453229.8,-5.29,69.95,89.72,103.6,104.1,94.21,79.14,63.18,48.8,37.02,28.02,21.55,17.5,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109085.5,453229,-5.27,74.24,90.83,104.9,106.2,96.48,81.17,64.79,49.97,37.85,28.6,21.92,17.03,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109086,453228.1,-5.28,80.66,96.57,108,107.1,96.1,80.36,63.98,49.33,37.42,28.36,21.82,17.04,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109086.5,453227.3,-5.29,84.76,101.5,110.1,106.5,94.31,78.33,62.23,48.02,36.54,27.83,21.6,17.42,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109087,453226.4,-5.3,86.1,101.3,109.1,105.2,93.08,77.36,61.54,47.57,36.26,27.69,21.63,17.79,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109087.6,453225.6,-5.29,85,99.44,107.2,103.8,92.19,76.87,61.28,47.44,36.18,27.62,21.59,18.04,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109088.1,453224.7,-5.28,81.69,95.41,103.2,100.7,90,75.42,60.33,46.78,35.69,27.21,21.19,17.58,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
